run_group_id,trace,benchmark_family,split_side,experiment,experiment_kind,router,builtin_coordinator,expert_0,expert_1,seed,ipc,speedup_vs_baseline,speedup_vs_best_single,baseline_ipc,best_single_ipc,traffic_overhead_vs_baseline,l2c_load_miss,l2c_mpki,l2c_prefetch_issued_raw,l2c_prefetch_issued,l2c_prefetch_useful,l2c_prefetch_useless,l2c_prefetch_late,downstream_prefetch_accuracy,pref0_issued_total,pref1_issued_total,pref0_useful_total,pref1_useful_total,pref0_budget_total,pref1_budget_total,pref0_selected_epochs,pref1_selected_epochs,pref0_accuracy,pref1_accuracy,l1d_load_miss,llc_prefetch_useful,l2c_total_miss,l2c_rq_full,l2c_wq_full,l2c_pq_full,dram_rq_row_buffer_miss,dram_bus_congested,dram_mshr_full,branch_pred_mpki,cycles,total_instructions,warmup_instructions,simulation_instructions,epoch_len_instructions,mop_total_budget,mop_accuracy_floor,mop_fixed_split_ratio,mop_score_weights,mode,host,git_revision,duration_s,start_utc,end_utc,trace_path,log_path,stderr_path,metrics_path,epoch_trace_prefix,flags,downstream_prefetch_useful
20260417T164530.338568Z-d1d3,437.leslie3d-134B,SPEC,heldout,Pythia,single,,,,,,1.70359,1.1330677343833138,1.0,1.50352,1.70359,1.0,35586.0,3.5586,262961.0,262961.0,0.0,0.0,0.0,0.10260076589304118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92172.0,26980.0,35586.0,0.0,0.0,0.0,12188.0,26016.0,0.0,0.24,5869950.0,10000000.0,5000000,10000000,,,,,,,GS24473,801cbd7097e0698bf814076476006a7b8aa7adf1,110.88815,2026-04-17T16:45:30.369539+00:00,2026-04-17T16:47:21.257689+00:00,/home/barry/projects/github/Mixture-of-Prefetchers/artifacts/athena_traces/437.leslie3d-134B.champsimtrace.xz,/home/barry/projects/github/Mixture-of-Prefetchers/results/mop_lite_pair_mlop_pythia/runs/20260417T164530.338568Z-d1d3/logs/437.leslie3d-134B__Pythia.out,/home/barry/projects/github/Mixture-of-Prefetchers/results/mop_lite_pair_mlop_pythia/runs/20260417T164530.338568Z-d1d3/logs/437.leslie3d-134B__Pythia.err,/home/barry/projects/github/Mixture-of-Prefetchers/results/mop_lite_pair_mlop_pythia/runs/20260417T164530.338568Z-d1d3/metrics/437.leslie3d-134B__Pythia.json,,"--warmup_instructions=5000000 --simulation_instructions=10000000 --llc_replacement_type=ship --config=/home/barry/projects/github/Mixture-of-Prefetchers/external/athena/config/nopref.ini --rob_partition_size=64,128,320 --rob_frontal_partition_ids=0 --rob_dorsal_partition_ids=2 --dram_io_freq=400 --l2c_prefetcher_types=scooby --config=/home/barry/projects/github/Mixture-of-Prefetchers/external/athena/config/pythia.ini --l2c_prefetcher_force_prefetch_at_llc=true",26980.0
20260417T164530.338568Z-d1d3,437.leslie3d-134B,SPEC,heldout,MLOP,single,,,,,,1.53322,1.019753644780249,0.8999935430473295,1.50352,1.70359,1.0,35582.0,3.5582,34444.0,34444.0,0.0,0.0,0.0,0.8210138195331552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92163.0,28279.0,35582.0,0.0,0.0,0.0,8874.0,36235.0,0.0,0.24,6522221.0,10000000.0,5000000,10000000,,,,,,,GS24473,801cbd7097e0698bf814076476006a7b8aa7adf1,111.373518,2026-04-17T16:45:30.365983+00:00,2026-04-17T16:47:21.739501+00:00,/home/barry/projects/github/Mixture-of-Prefetchers/artifacts/athena_traces/437.leslie3d-134B.champsimtrace.xz,/home/barry/projects/github/Mixture-of-Prefetchers/results/mop_lite_pair_mlop_pythia/runs/20260417T164530.338568Z-d1d3/logs/437.leslie3d-134B__MLOP.out,/home/barry/projects/github/Mixture-of-Prefetchers/results/mop_lite_pair_mlop_pythia/runs/20260417T164530.338568Z-d1d3/logs/437.leslie3d-134B__MLOP.err,/home/barry/projects/github/Mixture-of-Prefetchers/results/mop_lite_pair_mlop_pythia/runs/20260417T164530.338568Z-d1d3/metrics/437.leslie3d-134B__MLOP.json,,"--warmup_instructions=5000000 --simulation_instructions=10000000 --llc_replacement_type=ship --config=/home/barry/projects/github/Mixture-of-Prefetchers/external/athena/config/nopref.ini --rob_partition_size=64,128,320 --rob_frontal_partition_ids=0 --rob_dorsal_partition_ids=2 --dram_io_freq=400 --l2c_prefetcher_types=mlop --config=/home/barry/projects/github/Mixture-of-Prefetchers/external/athena/config/mlop.ini --l2c_prefetcher_force_prefetch_at_llc=true",28279.0
20260417T164530.338568Z-d1d3,437.leslie3d-134B,SPEC,heldout,AthenaMAB,builtin,,AthenaMAB,MLOP,Pythia,,1.56601,1.0415624667447057,0.9192411319625027,1.50352,1.70359,1.0,35580.0,3.557999288400142,269888.0,269888.0,0.0,0.0,0.0,0.11780442257529049,49613.0,85656.0,17232.0,94060.0,0.0,0.0,0.0,0.0,0.3473283212061355,1.0981133837676287,92154.0,31794.0,35580.0,0.0,0.0,0.0,8267.0,38037.0,0.0,0.24,6385644.0,10000002.0,5000000,10000000,500000,,,,,,GS24473,801cbd7097e0698bf814076476006a7b8aa7adf1,115.820306,2026-04-17T16:45:30.376317+00:00,2026-04-17T16:47:26.196623+00:00,/home/barry/projects/github/Mixture-of-Prefetchers/artifacts/athena_traces/437.leslie3d-134B.champsimtrace.xz,/home/barry/projects/github/Mixture-of-Prefetchers/results/mop_lite_pair_mlop_pythia/runs/20260417T164530.338568Z-d1d3/logs/437.leslie3d-134B__AthenaMAB.out,/home/barry/projects/github/Mixture-of-Prefetchers/results/mop_lite_pair_mlop_pythia/runs/20260417T164530.338568Z-d1d3/logs/437.leslie3d-134B__AthenaMAB.err,/home/barry/projects/github/Mixture-of-Prefetchers/results/mop_lite_pair_mlop_pythia/runs/20260417T164530.338568Z-d1d3/metrics/437.leslie3d-134B__AthenaMAB.json,,"--warmup_instructions=5000000 --simulation_instructions=10000000 --llc_replacement_type=ship --config=/home/barry/projects/github/Mixture-of-Prefetchers/external/athena/config/nopref.ini --rob_partition_size=64,128,320 --rob_frontal_partition_ids=0 --rob_dorsal_partition_ids=2 --dram_io_freq=400 --config=/home/barry/projects/github/Mixture-of-Prefetchers/external/athena/config/mop_lite_mab.ini --l2c_prefetcher_types=mlop --config=/home/barry/projects/github/Mixture-of-Prefetchers/external/athena/config/mlop.ini --l2c_prefetcher_types=scooby --config=/home/barry/projects/github/Mixture-of-Prefetchers/external/athena/config/pythia.ini --l2c_prefetcher_force_prefetch_at_llc=true",31794.0
20260417T164530.338568Z-d1d3,437.leslie3d-134B,SPEC,heldout,Baseline,baseline,,,,,,1.50352,1.0,0.8825597708368798,1.50352,1.70359,0.0,35582.0,3.5581985767205695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92142.0,0.0,35582.0,0.0,0.0,0.0,12441.0,15577.0,0.0,0.24,6651044.0,10000004.0,5000000,10000000,,,,,,,GS24473,801cbd7097e0698bf814076476006a7b8aa7adf1,118.25554,2026-04-17T16:45:30.365163+00:00,2026-04-17T16:47:28.620703+00:00,/home/barry/projects/github/Mixture-of-Prefetchers/artifacts/athena_traces/437.leslie3d-134B.champsimtrace.xz,/home/barry/projects/github/Mixture-of-Prefetchers/results/mop_lite_pair_mlop_pythia/runs/20260417T164530.338568Z-d1d3/logs/437.leslie3d-134B__Baseline.out,/home/barry/projects/github/Mixture-of-Prefetchers/results/mop_lite_pair_mlop_pythia/runs/20260417T164530.338568Z-d1d3/logs/437.leslie3d-134B__Baseline.err,/home/barry/projects/github/Mixture-of-Prefetchers/results/mop_lite_pair_mlop_pythia/runs/20260417T164530.338568Z-d1d3/metrics/437.leslie3d-134B__Baseline.json,,"--warmup_instructions=5000000 --simulation_instructions=10000000 --llc_replacement_type=ship --config=/home/barry/projects/github/Mixture-of-Prefetchers/external/athena/config/nopref.ini --rob_partition_size=64,128,320 --rob_frontal_partition_ids=0 --rob_dorsal_partition_ids=2 --dram_io_freq=400",0.0
20260417T164530.338568Z-d1d3,437.leslie3d-134B,SPEC,heldout,WinnerTakeAll,router,WinnerTakeAll,,MLOP,Pythia,1,1.51506,1.0076753219112484,0.8893337011839704,1.50352,1.70359,1.0,35582.0,3.5581985767205695,40936.0,40936.0,0.0,0.0,0.0,0.27814148915380105,13312.0,18498.0,8806.0,22725.0,12288.0,49152.0,6.0,24.0,0.6615084134615384,1.228511190398962,92146.0,11386.0,35582.0,0.0,0.0,0.0,12530.0,23327.0,0.0,0.24,6600415.0,10000004.0,5000000,10000000,500000,2048,30,50,"1.0,0.25,1.0",,GS24473,801cbd7097e0698bf814076476006a7b8aa7adf1,120.225853,2026-04-17T16:45:30.374662+00:00,2026-04-17T16:47:30.600515+00:00,/home/barry/projects/github/Mixture-of-Prefetchers/artifacts/athena_traces/437.leslie3d-134B.champsimtrace.xz,/home/barry/projects/github/Mixture-of-Prefetchers/results/mop_lite_pair_mlop_pythia/runs/20260417T164530.338568Z-d1d3/logs/437.leslie3d-134B__WinnerTakeAll.out,/home/barry/projects/github/Mixture-of-Prefetchers/results/mop_lite_pair_mlop_pythia/runs/20260417T164530.338568Z-d1d3/logs/437.leslie3d-134B__WinnerTakeAll.err,/home/barry/projects/github/Mixture-of-Prefetchers/results/mop_lite_pair_mlop_pythia/runs/20260417T164530.338568Z-d1d3/metrics/437.leslie3d-134B__WinnerTakeAll.json,,"--warmup_instructions=5000000 --simulation_instructions=10000000 --llc_replacement_type=ship --config=/home/barry/projects/github/Mixture-of-Prefetchers/external/athena/config/nopref.ini --rob_partition_size=64,128,320 --rob_frontal_partition_ids=0 --rob_dorsal_partition_ids=2 --dram_io_freq=400 --config=/home/barry/projects/github/Mixture-of-Prefetchers/external/athena/config/mop_lite.ini --mop_router_type=1 --mop_seed=1 --l2c_prefetcher_types=mlop --config=/home/barry/projects/github/Mixture-of-Prefetchers/external/athena/config/mlop.ini --l2c_prefetcher_types=scooby --config=/home/barry/projects/github/Mixture-of-Prefetchers/external/athena/config/pythia.ini --l2c_prefetcher_force_prefetch_at_llc=true",11386.0
20260417T164530.338568Z-d1d3,437.leslie3d-134B,SPEC,heldout,FixedSplit,router,FixedSplit,,MLOP,Pythia,1,1.49831,0.9965347983398958,0.8795015232538346,1.50352,1.70359,1.0,35582.0,3.5581985767205695,38906.0,38906.0,0.0,0.0,0.0,0.47403999383128564,30720.0,11743.0,18295.0,14406.0,30720.0,30720.0,30.0,30.0,0.5955403645833334,1.2267733969173125,92160.0,18443.0,35582.0,0.0,0.0,0.0,9779.0,26955.0,0.0,0.24,6674183.0,10000004.0,5000000,10000000,500000,2048,30,50,"1.0,0.25,1.0",,GS24473,801cbd7097e0698bf814076476006a7b8aa7adf1,122.632303,2026-04-17T16:45:30.373896+00:00,2026-04-17T16:47:33.006199+00:00,/home/barry/projects/github/Mixture-of-Prefetchers/artifacts/athena_traces/437.leslie3d-134B.champsimtrace.xz,/home/barry/projects/github/Mixture-of-Prefetchers/results/mop_lite_pair_mlop_pythia/runs/20260417T164530.338568Z-d1d3/logs/437.leslie3d-134B__FixedSplit.out,/home/barry/projects/github/Mixture-of-Prefetchers/results/mop_lite_pair_mlop_pythia/runs/20260417T164530.338568Z-d1d3/logs/437.leslie3d-134B__FixedSplit.err,/home/barry/projects/github/Mixture-of-Prefetchers/results/mop_lite_pair_mlop_pythia/runs/20260417T164530.338568Z-d1d3/metrics/437.leslie3d-134B__FixedSplit.json,,"--warmup_instructions=5000000 --simulation_instructions=10000000 --llc_replacement_type=ship --config=/home/barry/projects/github/Mixture-of-Prefetchers/external/athena/config/nopref.ini --rob_partition_size=64,128,320 --rob_frontal_partition_ids=0 --rob_dorsal_partition_ids=2 --dram_io_freq=400 --config=/home/barry/projects/github/Mixture-of-Prefetchers/external/athena/config/mop_lite.ini --mop_router_type=0 --mop_seed=1 --l2c_prefetcher_types=mlop --config=/home/barry/projects/github/Mixture-of-Prefetchers/external/athena/config/mlop.ini --l2c_prefetcher_types=scooby --config=/home/barry/projects/github/Mixture-of-Prefetchers/external/athena/config/pythia.ini --l2c_prefetcher_force_prefetch_at_llc=true",18443.0
20260417T164530.338568Z-d1d3,437.leslie3d-134B,SPEC,heldout,MoPLite,router,MoPLite,,MLOP,Pythia,1,1.50179,0.9988493668191976,0.8815442682805135,1.50352,1.70359,1.0,35582.0,3.5581985767205695,0.0,5919.0,0.0,0.0,0.0,0.0,3074.0,2845.0,2572.0,3105.0,2050.0,6142.0,3.0,4.0,0.8366948601171112,1.0913884007029877,92142.0,0.0,35582.0,0.0,0.0,0.0,13147.0,16148.0,0.0,0.24,6658713.0,10000004.0,5000000,10000000,500000,2048,30,50,"1.0,0.25,1.0",,GS24473,801cbd7097e0698bf814076476006a7b8aa7adf1,123.848571,2026-04-17T16:45:30.373132+00:00,2026-04-17T16:47:34.221703+00:00,/home/barry/projects/github/Mixture-of-Prefetchers/artifacts/athena_traces/437.leslie3d-134B.champsimtrace.xz,/home/barry/projects/github/Mixture-of-Prefetchers/results/mop_lite_pair_mlop_pythia/runs/20260417T164530.338568Z-d1d3/logs/437.leslie3d-134B__MoPLite.out,/home/barry/projects/github/Mixture-of-Prefetchers/results/mop_lite_pair_mlop_pythia/runs/20260417T164530.338568Z-d1d3/logs/437.leslie3d-134B__MoPLite.err,/home/barry/projects/github/Mixture-of-Prefetchers/results/mop_lite_pair_mlop_pythia/runs/20260417T164530.338568Z-d1d3/metrics/437.leslie3d-134B__MoPLite.json,,"--warmup_instructions=5000000 --simulation_instructions=10000000 --llc_replacement_type=ship --config=/home/barry/projects/github/Mixture-of-Prefetchers/external/athena/config/nopref.ini --rob_partition_size=64,128,320 --rob_frontal_partition_ids=0 --rob_dorsal_partition_ids=2 --dram_io_freq=400 --config=/home/barry/projects/github/Mixture-of-Prefetchers/external/athena/config/mop_lite.ini --mop_router_type=4 --mop_seed=1 --l2c_prefetcher_types=mlop --config=/home/barry/projects/github/Mixture-of-Prefetchers/external/athena/config/mlop.ini --l2c_prefetcher_types=scooby --config=/home/barry/projects/github/Mixture-of-Prefetchers/external/athena/config/pythia.ini --l2c_prefetcher_force_prefetch_at_llc=true",0.0
20260417T164530.338568Z-d1d3,459.GemsFDTD-1169B,SPEC,heldout,Baseline,baseline,,,,,,0.94858,1.0,1.0854063208000548,0.94858,0.87394,0.0,40761.0,4.076099592390041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99106.0,0.0,50771.0,0.0,0.0,0.0,26340.0,60158.0,0.0,0.11,10542091.0,10000001.0,5000000,10000000,,,,,,,GS24473,801cbd7097e0698bf814076476006a7b8aa7adf1,128.735868,2026-04-17T16:45:30.377545+00:00,2026-04-17T16:47:39.113413+00:00,/home/barry/projects/github/Mixture-of-Prefetchers/artifacts/athena_traces/459.GemsFDTD-1169B.champsimtrace.xz,/home/barry/projects/github/Mixture-of-Prefetchers/results/mop_lite_pair_mlop_pythia/runs/20260417T164530.338568Z-d1d3/logs/459.GemsFDTD-1169B__Baseline.out,/home/barry/projects/github/Mixture-of-Prefetchers/results/mop_lite_pair_mlop_pythia/runs/20260417T164530.338568Z-d1d3/logs/459.GemsFDTD-1169B__Baseline.err,/home/barry/projects/github/Mixture-of-Prefetchers/results/mop_lite_pair_mlop_pythia/runs/20260417T164530.338568Z-d1d3/metrics/459.GemsFDTD-1169B__Baseline.json,,"--warmup_instructions=5000000 --simulation_instructions=10000000 --llc_replacement_type=ship --config=/home/barry/projects/github/Mixture-of-Prefetchers/external/athena/config/nopref.ini --rob_partition_size=64,128,320 --rob_frontal_partition_ids=0 --rob_dorsal_partition_ids=2 --dram_io_freq=400",0.0
20260417T164530.338568Z-d1d3,459.GemsFDTD-1169B,SPEC,heldout,Pythia,single,,,,,,0.87394,0.9213139640304456,1.0,0.94858,0.87394,1.0,40763.0,4.076299184740163,204679.0,204679.0,0.0,0.0,0.0,0.03641800086965444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99109.0,7454.0,50983.0,0.0,0.0,0.0,30163.0,74318.0,0.0,0.11,11442467.0,10000002.0,5000000,10000000,,,,,,,GS24473,801cbd7097e0698bf814076476006a7b8aa7adf1,134.553551,2026-04-17T16:47:21.739590+00:00,2026-04-17T16:49:36.293141+00:00,/home/barry/projects/github/Mixture-of-Prefetchers/artifacts/athena_traces/459.GemsFDTD-1169B.champsimtrace.xz,/home/barry/projects/github/Mixture-of-Prefetchers/results/mop_lite_pair_mlop_pythia/runs/20260417T164530.338568Z-d1d3/logs/459.GemsFDTD-1169B__Pythia.out,/home/barry/projects/github/Mixture-of-Prefetchers/results/mop_lite_pair_mlop_pythia/runs/20260417T164530.338568Z-d1d3/logs/459.GemsFDTD-1169B__Pythia.err,/home/barry/projects/github/Mixture-of-Prefetchers/results/mop_lite_pair_mlop_pythia/runs/20260417T164530.338568Z-d1d3/metrics/459.GemsFDTD-1169B__Pythia.json,,"--warmup_instructions=5000000 --simulation_instructions=10000000 --llc_replacement_type=ship --config=/home/barry/projects/github/Mixture-of-Prefetchers/external/athena/config/nopref.ini --rob_partition_size=64,128,320 --rob_frontal_partition_ids=0 --rob_dorsal_partition_ids=2 --dram_io_freq=400 --l2c_prefetcher_types=scooby --config=/home/barry/projects/github/Mixture-of-Prefetchers/external/athena/config/pythia.ini --l2c_prefetcher_force_prefetch_at_llc=true",7454.0
20260417T164530.338568Z-d1d3,459.GemsFDTD-1169B,SPEC,heldout,MLOP,single,,,,,,0.77836,0.8205528263298827,0.8906332242488043,0.94858,0.87394,1.0,40763.0,4.076299592370041,53104.0,53104.0,0.0,0.0,0.0,0.31956161494426033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99103.0,16970.0,50984.0,0.0,0.0,0.0,31922.0,91436.0,0.0,0.11,12847466.0,10000001.0,5000000,10000000,,,,,,,GS24473,801cbd7097e0698bf814076476006a7b8aa7adf1,136.201904,2026-04-17T16:47:21.259589+00:00,2026-04-17T16:49:37.461493+00:00,/home/barry/projects/github/Mixture-of-Prefetchers/artifacts/athena_traces/459.GemsFDTD-1169B.champsimtrace.xz,/home/barry/projects/github/Mixture-of-Prefetchers/results/mop_lite_pair_mlop_pythia/runs/20260417T164530.338568Z-d1d3/logs/459.GemsFDTD-1169B__MLOP.out,/home/barry/projects/github/Mixture-of-Prefetchers/results/mop_lite_pair_mlop_pythia/runs/20260417T164530.338568Z-d1d3/logs/459.GemsFDTD-1169B__MLOP.err,/home/barry/projects/github/Mixture-of-Prefetchers/results/mop_lite_pair_mlop_pythia/runs/20260417T164530.338568Z-d1d3/metrics/459.GemsFDTD-1169B__MLOP.json,,"--warmup_instructions=5000000 --simulation_instructions=10000000 --llc_replacement_type=ship --config=/home/barry/projects/github/Mixture-of-Prefetchers/external/athena/config/nopref.ini --rob_partition_size=64,128,320 --rob_frontal_partition_ids=0 --rob_dorsal_partition_ids=2 --dram_io_freq=400 --l2c_prefetcher_types=mlop --config=/home/barry/projects/github/Mixture-of-Prefetchers/external/athena/config/mlop.ini --l2c_prefetcher_force_prefetch_at_llc=true",16970.0
20260417T164530.338568Z-d1d3,459.GemsFDTD-1169B,SPEC,heldout,MoPLite,router,MoPLite,,MLOP,Pythia,1,0.95344,1.0051234476796895,1.0909673432958784,0.94858,0.87394,1.0,40764.0,4.0763995923600405,3033.0,3033.0,0.0,0.0,0.0,0.0019782393669634025,4183.0,4176.0,3877.0,4087.0,8794.0,13734.0,10.0,11.0,0.9268467606980636,0.9786877394636015,99107.0,6.0,50777.0,0.0,0.0,0.0,26218.0,59642.0,0.0,0.11,10488328.0,10000001.0,5000000,10000000,500000,2048,30,50,"1.0,0.25,1.0",,GS24473,801cbd7097e0698bf814076476006a7b8aa7adf1,133.407893,2026-04-17T16:47:26.196673+00:00,2026-04-17T16:49:39.604566+00:00,/home/barry/projects/github/Mixture-of-Prefetchers/artifacts/athena_traces/459.GemsFDTD-1169B.champsimtrace.xz,/home/barry/projects/github/Mixture-of-Prefetchers/results/mop_lite_pair_mlop_pythia/runs/20260417T164530.338568Z-d1d3/logs/459.GemsFDTD-1169B__MoPLite.out,/home/barry/projects/github/Mixture-of-Prefetchers/results/mop_lite_pair_mlop_pythia/runs/20260417T164530.338568Z-d1d3/logs/459.GemsFDTD-1169B__MoPLite.err,/home/barry/projects/github/Mixture-of-Prefetchers/results/mop_lite_pair_mlop_pythia/runs/20260417T164530.338568Z-d1d3/metrics/459.GemsFDTD-1169B__MoPLite.json,,"--warmup_instructions=5000000 --simulation_instructions=10000000 --llc_replacement_type=ship --config=/home/barry/projects/github/Mixture-of-Prefetchers/external/athena/config/nopref.ini --rob_partition_size=64,128,320 --rob_frontal_partition_ids=0 --rob_dorsal_partition_ids=2 --dram_io_freq=400 --config=/home/barry/projects/github/Mixture-of-Prefetchers/external/athena/config/mop_lite.ini --mop_router_type=4 --mop_seed=1 --l2c_prefetcher_types=mlop --config=/home/barry/projects/github/Mixture-of-Prefetchers/external/athena/config/mlop.ini --l2c_prefetcher_types=scooby --config=/home/barry/projects/github/Mixture-of-Prefetchers/external/athena/config/pythia.ini --l2c_prefetcher_force_prefetch_at_llc=true",6.0
20260417T164530.338568Z-d1d3,459.GemsFDTD-1169B,SPEC,heldout,WinnerTakeAll,router,WinnerTakeAll,,MLOP,Pythia,1,0.93054,0.9809820995593413,1.0647641714534177,0.94858,0.87394,1.0,40763.0,4.076299592370041,14408.0,14408.0,0.0,0.0,0.0,0.12194614103275958,10156.0,6527.0,8453.0,15040.0,40960.0,20480.0,20.0,10.0,0.832315872390705,2.304274551861498,99105.0,1757.0,50650.0,0.0,0.0,0.0,26764.0,62861.0,0.0,0.11,10746440.0,10000001.0,5000000,10000000,500000,2048,30,50,"1.0,0.25,1.0",,GS24473,801cbd7097e0698bf814076476006a7b8aa7adf1,130.416579,2026-04-17T16:47:30.600576+00:00,2026-04-17T16:49:41.017155+00:00,/home/barry/projects/github/Mixture-of-Prefetchers/artifacts/athena_traces/459.GemsFDTD-1169B.champsimtrace.xz,/home/barry/projects/github/Mixture-of-Prefetchers/results/mop_lite_pair_mlop_pythia/runs/20260417T164530.338568Z-d1d3/logs/459.GemsFDTD-1169B__WinnerTakeAll.out,/home/barry/projects/github/Mixture-of-Prefetchers/results/mop_lite_pair_mlop_pythia/runs/20260417T164530.338568Z-d1d3/logs/459.GemsFDTD-1169B__WinnerTakeAll.err,/home/barry/projects/github/Mixture-of-Prefetchers/results/mop_lite_pair_mlop_pythia/runs/20260417T164530.338568Z-d1d3/metrics/459.GemsFDTD-1169B__WinnerTakeAll.json,,"--warmup_instructions=5000000 --simulation_instructions=10000000 --llc_replacement_type=ship --config=/home/barry/projects/github/Mixture-of-Prefetchers/external/athena/config/nopref.ini --rob_partition_size=64,128,320 --rob_frontal_partition_ids=0 --rob_dorsal_partition_ids=2 --dram_io_freq=400 --config=/home/barry/projects/github/Mixture-of-Prefetchers/external/athena/config/mop_lite.ini --mop_router_type=1 --mop_seed=1 --l2c_prefetcher_types=mlop --config=/home/barry/projects/github/Mixture-of-Prefetchers/external/athena/config/mlop.ini --l2c_prefetcher_types=scooby --config=/home/barry/projects/github/Mixture-of-Prefetchers/external/athena/config/pythia.ini --l2c_prefetcher_force_prefetch_at_llc=true",1757.0
20260417T164530.338568Z-d1d3,459.GemsFDTD-1169B,SPEC,heldout,FixedSplit,router,FixedSplit,,MLOP,Pythia,1,0.92934,0.9797170507495415,1.0633910794791404,0.94858,0.87394,1.0,40764.0,4.076399184720163,27537.0,27537.0,0.0,0.0,0.0,0.07658786360169953,13049.0,9776.0,12668.0,14133.0,30720.0,30720.0,30.0,30.0,0.9708023603341253,1.4456833060556464,99109.0,2109.0,50753.0,0.0,0.0,0.0,27061.0,62954.0,0.0,0.11,10760301.0,10000002.0,5000000,10000000,500000,2048,30,50,"1.0,0.25,1.0",,GS24473,801cbd7097e0698bf814076476006a7b8aa7adf1,138.950089,2026-04-17T16:47:28.620767+00:00,2026-04-17T16:49:47.570856+00:00,/home/barry/projects/github/Mixture-of-Prefetchers/artifacts/athena_traces/459.GemsFDTD-1169B.champsimtrace.xz,/home/barry/projects/github/Mixture-of-Prefetchers/results/mop_lite_pair_mlop_pythia/runs/20260417T164530.338568Z-d1d3/logs/459.GemsFDTD-1169B__FixedSplit.out,/home/barry/projects/github/Mixture-of-Prefetchers/results/mop_lite_pair_mlop_pythia/runs/20260417T164530.338568Z-d1d3/logs/459.GemsFDTD-1169B__FixedSplit.err,/home/barry/projects/github/Mixture-of-Prefetchers/results/mop_lite_pair_mlop_pythia/runs/20260417T164530.338568Z-d1d3/metrics/459.GemsFDTD-1169B__FixedSplit.json,,"--warmup_instructions=5000000 --simulation_instructions=10000000 --llc_replacement_type=ship --config=/home/barry/projects/github/Mixture-of-Prefetchers/external/athena/config/nopref.ini --rob_partition_size=64,128,320 --rob_frontal_partition_ids=0 --rob_dorsal_partition_ids=2 --dram_io_freq=400 --config=/home/barry/projects/github/Mixture-of-Prefetchers/external/athena/config/mop_lite.ini --mop_router_type=0 --mop_seed=1 --l2c_prefetcher_types=mlop --config=/home/barry/projects/github/Mixture-of-Prefetchers/external/athena/config/mlop.ini --l2c_prefetcher_types=scooby --config=/home/barry/projects/github/Mixture-of-Prefetchers/external/athena/config/pythia.ini --l2c_prefetcher_force_prefetch_at_llc=true",2109.0
20260417T164530.338568Z-d1d3,459.GemsFDTD-1169B,SPEC,heldout,AthenaMAB,builtin,,AthenaMAB,MLOP,Pythia,,0.83079,0.8758249172447238,0.950625901091608,0.94858,0.87394,1.0,40769.0,4.076899592310041,135745.0,135745.0,0.0,0.0,0.0,0.05828575638145051,41328.0,40761.0,30095.0,48535.0,0.0,0.0,0.0,0.0,0.7281987998451414,1.1907215230244597,99102.0,7912.0,50998.0,0.0,0.0,0.0,34201.0,79850.0,0.0,0.11,12036774.0,10000001.0,5000000,10000000,500000,,,,,,GS24473,801cbd7097e0698bf814076476006a7b8aa7adf1,134.634703,2026-04-17T16:47:33.006251+00:00,2026-04-17T16:49:47.640954+00:00,/home/barry/projects/github/Mixture-of-Prefetchers/artifacts/athena_traces/459.GemsFDTD-1169B.champsimtrace.xz,/home/barry/projects/github/Mixture-of-Prefetchers/results/mop_lite_pair_mlop_pythia/runs/20260417T164530.338568Z-d1d3/logs/459.GemsFDTD-1169B__AthenaMAB.out,/home/barry/projects/github/Mixture-of-Prefetchers/results/mop_lite_pair_mlop_pythia/runs/20260417T164530.338568Z-d1d3/logs/459.GemsFDTD-1169B__AthenaMAB.err,/home/barry/projects/github/Mixture-of-Prefetchers/results/mop_lite_pair_mlop_pythia/runs/20260417T164530.338568Z-d1d3/metrics/459.GemsFDTD-1169B__AthenaMAB.json,,"--warmup_instructions=5000000 --simulation_instructions=10000000 --llc_replacement_type=ship --config=/home/barry/projects/github/Mixture-of-Prefetchers/external/athena/config/nopref.ini --rob_partition_size=64,128,320 --rob_frontal_partition_ids=0 --rob_dorsal_partition_ids=2 --dram_io_freq=400 --config=/home/barry/projects/github/Mixture-of-Prefetchers/external/athena/config/mop_lite_mab.ini --l2c_prefetcher_types=mlop --config=/home/barry/projects/github/Mixture-of-Prefetchers/external/athena/config/mlop.ini --l2c_prefetcher_types=scooby --config=/home/barry/projects/github/Mixture-of-Prefetchers/external/athena/config/pythia.ini --l2c_prefetcher_force_prefetch_at_llc=true",7912.0
